"bezirk","freq","date"
"Mödling",99,2020-03-28 01:00:00
"Murau",2,2020-03-28 01:00:00
"Murtal",20,2020-03-28 01:00:00
"Neunkirchen",101,2020-03-28 01:00:00
"Neusiedl am See",31,2020-03-28 01:00:00
"Oberpullendorf",12,2020-03-28 01:00:00
"Oberwart",48,2020-03-28 01:00:00
"Perg",178,2020-03-28 01:00:00
"Reutte",28,2020-03-28 01:00:00
"Ried im Innkreis",23,2020-03-28 01:00:00
"Rohrbach",91,2020-03-28 01:00:00
"Salzburg(Stadt)",95,2020-03-28 01:00:00
"Salzburg-Umgebung",106,2020-03-28 01:00:00
"Sankt Johann im Pongau",272,2020-03-28 01:00:00
"Sankt Pölten(Land)",104,2020-03-28 01:00:00
"Sankt Pölten(Stadt)",39,2020-03-28 01:00:00
"Sankt Veit an der Glan",19,2020-03-28 01:00:00
"Schärding",35,2020-03-28 01:00:00
"Scheibbs",38,2020-03-28 01:00:00
"Schwaz",157,2020-03-28 01:00:00
"Spittal an der Drau",16,2020-03-28 01:00:00
"Steyr(Stadt)",17,2020-03-28 01:00:00
"Steyr-Land",81,2020-03-28 01:00:00
"Südoststeiermark",34,2020-03-28 01:00:00
"Tamsweg",12,2020-03-28 01:00:00
"Tulln",92,2020-03-28 01:00:00
"Urfahr-Umgebung",168,2020-03-28 01:00:00
"Villach Land",26,2020-03-28 01:00:00
"Villach Stadt",13,2020-03-28 01:00:00
"Vöcklabruck",81,2020-03-28 01:00:00
"Voitsberg",52,2020-03-28 01:00:00
"Völkermarkt",34,2020-03-28 01:00:00
"Waidhofen an der Thaya",9,2020-03-28 01:00:00
"Waidhofen an der Ybbs(Stadt)",11,2020-03-28 01:00:00
"Weiz",73,2020-03-28 01:00:00
"Wels(Stadt)",47,2020-03-28 01:00:00
"Wels-Land",61,2020-03-28 01:00:00
"Wien(Stadt)",1029,2020-03-28 01:00:00
"Wiener Neustadt(Land)",14,2020-03-28 01:00:00
"Wiener Neustadt(Stadt)",18,2020-03-28 01:00:00
"Wolfsberg",20,2020-03-28 01:00:00
"Zell am See",200,2020-03-28 01:00:00
"Zwettl",17,2020-03-28 01:00:00
"Amstetten",134,2020-03-28 02:00:00
"Baden",67,2020-03-28 02:00:00
"Bludenz",162,2020-03-28 02:00:00
"Braunau am Inn",35,2020-03-28 02:00:00
"Bregenz",132,2020-03-28 02:00:00
"Bruck an der Leitha",34,2020-03-28 02:00:00
"Bruck-Mürzzuschlag",27,2020-03-28 02:00:00
"Deutschlandsberg",15,2020-03-28 02:00:00
"Dornbirn",88,2020-03-28 02:00:00
"Eferding",22,2020-03-28 02:00:00
"Eisenstadt(Stadt)",8,2020-03-28 02:00:00
"Eisenstadt-Umgebung",12,2020-03-28 02:00:00
"Feldkirch",153,2020-03-28 02:00:00
"Feldkirchen",7,2020-03-28 02:00:00
"Freistadt",64,2020-03-28 02:00:00
"Gänserndorf",39,2020-03-28 02:00:00
"Gmünd",4,2020-03-28 02:00:00
"Gmunden",46,2020-03-28 02:00:00
"Graz(Stadt)",188,2020-03-28 02:00:00
"Graz-Umgebung",77,2020-03-28 02:00:00
"Grieskirchen",28,2020-03-28 02:00:00
"Gröbming",22,2020-03-28 02:00:00
"Güssing",5,2020-03-28 02:00:00
"Hallein",43,2020-03-28 02:00:00
"Hartberg-Fürstenfeld",156,2020-03-28 02:00:00
"Hermagor",3,2020-03-28 02:00:00
"Hollabrunn",10,2020-03-28 02:00:00
"Horn",7,2020-03-28 02:00:00
"Imst",140,2020-03-28 02:00:00
"Innsbruck-Land",226,2020-03-28 02:00:00
"Innsbruck-Stadt",283,2020-03-28 02:00:00
"Jennersdorf",7,2020-03-28 02:00:00
"Kirchdorf an der Krems",27,2020-03-28 02:00:00
"Kitzbühel",166,2020-03-28 02:00:00
"Klagenfurt Land",24,2020-03-28 02:00:00
"Klagenfurt Stadt",42,2020-03-28 02:00:00
"Korneuburg",95,2020-03-28 02:00:00
"Krems an der Donau(Stadt)",18,2020-03-28 02:00:00
"Krems(Land)",76,2020-03-28 02:00:00
"Kufstein",205,2020-03-28 02:00:00
"Landeck",534,2020-03-28 02:00:00
"Leibnitz",101,2020-03-28 02:00:00
"Leoben",16,2020-03-28 02:00:00
"Lienz",62,2020-03-28 02:00:00
"Liezen",29,2020-03-28 02:00:00
"Lilienfeld",18,2020-03-28 02:00:00
"Linz(Stadt)",168,2020-03-28 02:00:00
"Linz-Land",113,2020-03-28 02:00:00
"Mattersburg",17,2020-03-28 02:00:00
"Melk",62,2020-03-28 02:00:00
"Mistelbach",57,2020-03-28 02:00:00
"Mödling",99,2020-03-28 02:00:00
"Murau",2,2020-03-28 02:00:00
"Murtal",20,2020-03-28 02:00:00
"Neunkirchen",101,2020-03-28 02:00:00
"Neusiedl am See",31,2020-03-28 02:00:00
"Oberpullendorf",12,2020-03-28 02:00:00
"Oberwart",48,2020-03-28 02:00:00
"Perg",178,2020-03-28 02:00:00
"Reutte",28,2020-03-28 02:00:00
"Ried im Innkreis",23,2020-03-28 02:00:00
"Rohrbach",91,2020-03-28 02:00:00
"Salzburg(Stadt)",95,2020-03-28 02:00:00
"Salzburg-Umgebung",106,2020-03-28 02:00:00
"Sankt Johann im Pongau",272,2020-03-28 02:00:00
"Sankt Pölten(Land)",104,2020-03-28 02:00:00
"Sankt Pölten(Stadt)",39,2020-03-28 02:00:00
"Sankt Veit an der Glan",19,2020-03-28 02:00:00
"Schärding",35,2020-03-28 02:00:00
"Scheibbs",38,2020-03-28 02:00:00
"Schwaz",157,2020-03-28 02:00:00
"Spittal an der Drau",16,2020-03-28 02:00:00
"Steyr(Stadt)",17,2020-03-28 02:00:00
"Steyr-Land",81,2020-03-28 02:00:00
"Südoststeiermark",34,2020-03-28 02:00:00
"Tamsweg",12,2020-03-28 02:00:00
"Tulln",92,2020-03-28 02:00:00
"Urfahr-Umgebung",168,2020-03-28 02:00:00
"Villach Land",26,2020-03-28 02:00:00
"Villach Stadt",13,2020-03-28 02:00:00
"Vöcklabruck",81,2020-03-28 02:00:00
"Voitsberg",52,2020-03-28 02:00:00
"Völkermarkt",34,2020-03-28 02:00:00
"Waidhofen an der Thaya",9,2020-03-28 02:00:00
"Waidhofen an der Ybbs(Stadt)",11,2020-03-28 02:00:00
"Weiz",73,2020-03-28 02:00:00
"Wels(Stadt)",47,2020-03-28 02:00:00
"Wels-Land",61,2020-03-28 02:00:00
"Wien(Stadt)",1029,2020-03-28 02:00:00
"Wiener Neustadt(Land)",14,2020-03-28 02:00:00
"Wiener Neustadt(Stadt)",18,2020-03-28 02:00:00
"Wolfsberg",20,2020-03-28 02:00:00
"Zell am See",200,2020-03-28 02:00:00
"Zwettl",17,2020-03-28 02:00:00
"Amstetten",134,2020-03-28 03:00:00
"Baden",67,2020-03-28 03:00:00
"Bludenz",162,2020-03-28 03:00:00
"Braunau am Inn",35,2020-03-28 03:00:00
"Bregenz",132,2020-03-28 03:00:00
"Bruck an der Leitha",34,2020-03-28 03:00:00
"Bruck-Mürzzuschlag",27,2020-03-28 03:00:00
"Deutschlandsberg",15,2020-03-28 03:00:00
"Dornbirn",88,2020-03-28 03:00:00
"Eferding",22,2020-03-28 03:00:00
"Eisenstadt(Stadt)",8,2020-03-28 03:00:00
"Eisenstadt-Umgebung",12,2020-03-28 03:00:00
"Feldkirch",153,2020-03-28 03:00:00
"Feldkirchen",7,2020-03-28 03:00:00
"Freistadt",64,2020-03-28 03:00:00
"Gänserndorf",39,2020-03-28 03:00:00
"Gmünd",4,2020-03-28 03:00:00
"Gmunden",46,2020-03-28 03:00:00
"Graz(Stadt)",188,2020-03-28 03:00:00
"Graz-Umgebung",77,2020-03-28 03:00:00
"Grieskirchen",28,2020-03-28 03:00:00
"Gröbming",22,2020-03-28 03:00:00
"Güssing",5,2020-03-28 03:00:00
"Hallein",43,2020-03-28 03:00:00
"Hartberg-Fürstenfeld",156,2020-03-28 03:00:00
"Hermagor",3,2020-03-28 03:00:00
"Hollabrunn",10,2020-03-28 03:00:00
"Horn",7,2020-03-28 03:00:00
"Imst",140,2020-03-28 03:00:00
"Innsbruck-Land",226,2020-03-28 03:00:00
"Innsbruck-Stadt",283,2020-03-28 03:00:00
"Jennersdorf",7,2020-03-28 03:00:00
"Kirchdorf an der Krems",27,2020-03-28 03:00:00
"Kitzbühel",166,2020-03-28 03:00:00
"Klagenfurt Land",24,2020-03-28 03:00:00
"Klagenfurt Stadt",42,2020-03-28 03:00:00
"Korneuburg",95,2020-03-28 03:00:00
"Krems an der Donau(Stadt)",18,2020-03-28 03:00:00
"Krems(Land)",76,2020-03-28 03:00:00
"Kufstein",205,2020-03-28 03:00:00
"Landeck",534,2020-03-28 03:00:00
"Leibnitz",101,2020-03-28 03:00:00
"Leoben",16,2020-03-28 03:00:00
"Lienz",62,2020-03-28 03:00:00
"Liezen",29,2020-03-28 03:00:00
"Lilienfeld",18,2020-03-28 03:00:00
"Linz(Stadt)",168,2020-03-28 03:00:00
"Linz-Land",113,2020-03-28 03:00:00
"Mattersburg",17,2020-03-28 03:00:00
"Melk",62,2020-03-28 03:00:00
"Mistelbach",57,2020-03-28 03:00:00
"Mödling",99,2020-03-28 03:00:00
"Murau",2,2020-03-28 03:00:00
"Murtal",20,2020-03-28 03:00:00
"Neunkirchen",101,2020-03-28 03:00:00
"Neusiedl am See",31,2020-03-28 03:00:00
"Oberpullendorf",12,2020-03-28 03:00:00
"Oberwart",48,2020-03-28 03:00:00
"Perg",178,2020-03-28 03:00:00
"Reutte",28,2020-03-28 03:00:00
"Ried im Innkreis",23,2020-03-28 03:00:00
"Rohrbach",91,2020-03-28 03:00:00
"Salzburg(Stadt)",95,2020-03-28 03:00:00
"Salzburg-Umgebung",106,2020-03-28 03:00:00
"Sankt Johann im Pongau",272,2020-03-28 03:00:00
"Sankt Pölten(Land)",104,2020-03-28 03:00:00
"Sankt Pölten(Stadt)",39,2020-03-28 03:00:00
"Sankt Veit an der Glan",19,2020-03-28 03:00:00
"Schärding",35,2020-03-28 03:00:00
"Scheibbs",38,2020-03-28 03:00:00
"Schwaz",157,2020-03-28 03:00:00
"Spittal an der Drau",16,2020-03-28 03:00:00
"Steyr(Stadt)",17,2020-03-28 03:00:00
"Steyr-Land",81,2020-03-28 03:00:00
"Südoststeiermark",34,2020-03-28 03:00:00
"Tamsweg",12,2020-03-28 03:00:00
"Tulln",92,2020-03-28 03:00:00
"Urfahr-Umgebung",168,2020-03-28 03:00:00
"Villach Land",26,2020-03-28 03:00:00
"Villach Stadt",13,2020-03-28 03:00:00
"Vöcklabruck",81,2020-03-28 03:00:00
"Voitsberg",52,2020-03-28 03:00:00
"Völkermarkt",34,2020-03-28 03:00:00
"Waidhofen an der Thaya",9,2020-03-28 03:00:00
"Waidhofen an der Ybbs(Stadt)",11,2020-03-28 03:00:00
"Weiz",73,2020-03-28 03:00:00
"Wels(Stadt)",47,2020-03-28 03:00:00
"Wels-Land",61,2020-03-28 03:00:00
"Wien(Stadt)",1029,2020-03-28 03:00:00
"Wiener Neustadt(Land)",14,2020-03-28 03:00:00
"Wiener Neustadt(Stadt)",18,2020-03-28 03:00:00
"Wolfsberg",20,2020-03-28 03:00:00
"Zell am See",200,2020-03-28 03:00:00
"Zwettl",17,2020-03-28 03:00:00
"Amstetten",134,2020-03-28 04:00:00
"Baden",67,2020-03-28 04:00:00
"Bludenz",162,2020-03-28 04:00:00
"Braunau am Inn",35,2020-03-28 04:00:00
"Bregenz",132,2020-03-28 04:00:00
"Bruck an der Leitha",34,2020-03-28 04:00:00
"Bruck-Mürzzuschlag",27,2020-03-28 04:00:00
"Deutschlandsberg",15,2020-03-28 04:00:00
"Dornbirn",88,2020-03-28 04:00:00
"Eferding",22,2020-03-28 04:00:00
"Eisenstadt(Stadt)",8,2020-03-28 04:00:00
"Eisenstadt-Umgebung",12,2020-03-28 04:00:00
"Feldkirch",153,2020-03-28 04:00:00
"Feldkirchen",7,2020-03-28 04:00:00
"Freistadt",64,2020-03-28 04:00:00
"Gänserndorf",39,2020-03-28 04:00:00
"Gmünd",4,2020-03-28 04:00:00
"Gmunden",46,2020-03-28 04:00:00
"Graz(Stadt)",188,2020-03-28 04:00:00
"Graz-Umgebung",77,2020-03-28 04:00:00
"Grieskirchen",28,2020-03-28 04:00:00
"Gröbming",22,2020-03-28 04:00:00
"Güssing",5,2020-03-28 04:00:00
"Hallein",43,2020-03-28 04:00:00
"Hartberg-Fürstenfeld",156,2020-03-28 04:00:00
"Hermagor",3,2020-03-28 04:00:00
"Hollabrunn",10,2020-03-28 04:00:00
"Horn",7,2020-03-28 04:00:00
"Imst",140,2020-03-28 04:00:00
"Innsbruck-Land",226,2020-03-28 04:00:00
"Innsbruck-Stadt",283,2020-03-28 04:00:00
"Jennersdorf",7,2020-03-28 04:00:00
"Kirchdorf an der Krems",27,2020-03-28 04:00:00
"Kitzbühel",166,2020-03-28 04:00:00
"Klagenfurt Land",24,2020-03-28 04:00:00
"Klagenfurt Stadt",42,2020-03-28 04:00:00
"Korneuburg",95,2020-03-28 04:00:00
"Krems an der Donau(Stadt)",18,2020-03-28 04:00:00
"Krems(Land)",76,2020-03-28 04:00:00
"Kufstein",205,2020-03-28 04:00:00
"Landeck",534,2020-03-28 04:00:00
"Leibnitz",101,2020-03-28 04:00:00
"Leoben",16,2020-03-28 04:00:00
"Lienz",62,2020-03-28 04:00:00
"Liezen",29,2020-03-28 04:00:00
"Lilienfeld",18,2020-03-28 04:00:00
"Linz(Stadt)",168,2020-03-28 04:00:00
"Linz-Land",113,2020-03-28 04:00:00
"Mattersburg",17,2020-03-28 04:00:00
"Melk",62,2020-03-28 04:00:00
"Mistelbach",57,2020-03-28 04:00:00
"Mödling",99,2020-03-28 04:00:00
"Murau",2,2020-03-28 04:00:00
"Murtal",20,2020-03-28 04:00:00
"Neunkirchen",101,2020-03-28 04:00:00
"Neusiedl am See",31,2020-03-28 04:00:00
"Oberpullendorf",12,2020-03-28 04:00:00
"Oberwart",48,2020-03-28 04:00:00
"Perg",178,2020-03-28 04:00:00
"Reutte",28,2020-03-28 04:00:00
"Ried im Innkreis",23,2020-03-28 04:00:00
"Rohrbach",91,2020-03-28 04:00:00
"Salzburg(Stadt)",95,2020-03-28 04:00:00
"Salzburg-Umgebung",106,2020-03-28 04:00:00
"Sankt Johann im Pongau",272,2020-03-28 04:00:00
"Sankt Pölten(Land)",104,2020-03-28 04:00:00
"Sankt Pölten(Stadt)",39,2020-03-28 04:00:00
"Sankt Veit an der Glan",19,2020-03-28 04:00:00
"Schärding",35,2020-03-28 04:00:00
"Scheibbs",38,2020-03-28 04:00:00
"Schwaz",157,2020-03-28 04:00:00
"Spittal an der Drau",16,2020-03-28 04:00:00
"Steyr(Stadt)",17,2020-03-28 04:00:00
"Steyr-Land",81,2020-03-28 04:00:00
"Südoststeiermark",34,2020-03-28 04:00:00
"Tamsweg",12,2020-03-28 04:00:00
"Tulln",92,2020-03-28 04:00:00
"Urfahr-Umgebung",168,2020-03-28 04:00:00
"Villach Land",26,2020-03-28 04:00:00
"Villach Stadt",13,2020-03-28 04:00:00
"Vöcklabruck",81,2020-03-28 04:00:00
"Voitsberg",52,2020-03-28 04:00:00
"Völkermarkt",34,2020-03-28 04:00:00
"Waidhofen an der Thaya",9,2020-03-28 04:00:00
"Waidhofen an der Ybbs(Stadt)",11,2020-03-28 04:00:00
"Weiz",73,2020-03-28 04:00:00
"Wels(Stadt)",47,2020-03-28 04:00:00
"Wels-Land",61,2020-03-28 04:00:00
"Wien(Stadt)",1029,2020-03-28 04:00:00
"Wiener Neustadt(Land)",14,2020-03-28 04:00:00
"Wiener Neustadt(Stadt)",18,2020-03-28 04:00:00
"Wolfsberg",20,2020-03-28 04:00:00
"Zell am See",200,2020-03-28 04:00:00
"Zwettl",17,2020-03-28 04:00:00
"Amstetten",134,2020-03-28 05:00:00
"Baden",67,2020-03-28 05:00:00
"Bludenz",162,2020-03-28 05:00:00
"Braunau am Inn",35,2020-03-28 05:00:00
"Bregenz",132,2020-03-28 05:00:00
"Bruck an der Leitha",34,2020-03-28 05:00:00
"Bruck-Mürzzuschlag",27,2020-03-28 05:00:00
"Deutschlandsberg",15,2020-03-28 05:00:00
"Dornbirn",88,2020-03-28 05:00:00
"Eferding",22,2020-03-28 05:00:00
"Eisenstadt(Stadt)",8,2020-03-28 05:00:00
"Eisenstadt-Umgebung",12,2020-03-28 05:00:00
"Feldkirch",153,2020-03-28 05:00:00
"Feldkirchen",7,2020-03-28 05:00:00
"Freistadt",64,2020-03-28 05:00:00
"Gänserndorf",39,2020-03-28 05:00:00
"Gmünd",4,2020-03-28 05:00:00
"Gmunden",46,2020-03-28 05:00:00
"Graz(Stadt)",188,2020-03-28 05:00:00
"Graz-Umgebung",77,2020-03-28 05:00:00
"Grieskirchen",28,2020-03-28 05:00:00
"Gröbming",22,2020-03-28 05:00:00
"Güssing",5,2020-03-28 05:00:00
"Hallein",43,2020-03-28 05:00:00
"Hartberg-Fürstenfeld",156,2020-03-28 05:00:00
"Hermagor",3,2020-03-28 05:00:00
"Hollabrunn",10,2020-03-28 05:00:00
"Horn",7,2020-03-28 05:00:00
"Imst",140,2020-03-28 05:00:00
"Innsbruck-Land",226,2020-03-28 05:00:00
"Innsbruck-Stadt",283,2020-03-28 05:00:00
"Jennersdorf",7,2020-03-28 05:00:00
"Kirchdorf an der Krems",27,2020-03-28 05:00:00
"Kitzbühel",166,2020-03-28 05:00:00
"Klagenfurt Land",24,2020-03-28 05:00:00
"Klagenfurt Stadt",42,2020-03-28 05:00:00
"Korneuburg",95,2020-03-28 05:00:00
"Krems an der Donau(Stadt)",18,2020-03-28 05:00:00
"Krems(Land)",76,2020-03-28 05:00:00
"Kufstein",205,2020-03-28 05:00:00
"Landeck",534,2020-03-28 05:00:00
"Leibnitz",101,2020-03-28 05:00:00
"Leoben",16,2020-03-28 05:00:00
"Lienz",62,2020-03-28 05:00:00
"Liezen",29,2020-03-28 05:00:00
"Lilienfeld",18,2020-03-28 05:00:00
"Linz(Stadt)",168,2020-03-28 05:00:00
"Linz-Land",113,2020-03-28 05:00:00
"Mattersburg",17,2020-03-28 05:00:00
"Melk",62,2020-03-28 05:00:00
"Mistelbach",57,2020-03-28 05:00:00
"Mödling",99,2020-03-28 05:00:00
"Murau",2,2020-03-28 05:00:00
"Murtal",20,2020-03-28 05:00:00
"Neunkirchen",101,2020-03-28 05:00:00
"Neusiedl am See",31,2020-03-28 05:00:00
"Oberpullendorf",12,2020-03-28 05:00:00
"Oberwart",48,2020-03-28 05:00:00
"Perg",178,2020-03-28 05:00:00
"Reutte",28,2020-03-28 05:00:00
"Ried im Innkreis",23,2020-03-28 05:00:00
"Rohrbach",91,2020-03-28 05:00:00
"Salzburg(Stadt)",95,2020-03-28 05:00:00
"Salzburg-Umgebung",106,2020-03-28 05:00:00
"Sankt Johann im Pongau",272,2020-03-28 05:00:00
"Sankt Pölten(Land)",104,2020-03-28 05:00:00
"Sankt Pölten(Stadt)",39,2020-03-28 05:00:00
"Sankt Veit an der Glan",19,2020-03-28 05:00:00
"Schärding",35,2020-03-28 05:00:00
"Scheibbs",38,2020-03-28 05:00:00
"Schwaz",157,2020-03-28 05:00:00
"Spittal an der Drau",16,2020-03-28 05:00:00
"Steyr(Stadt)",17,2020-03-28 05:00:00
"Steyr-Land",81,2020-03-28 05:00:00
"Südoststeiermark",34,2020-03-28 05:00:00
"Tamsweg",12,2020-03-28 05:00:00
"Tulln",92,2020-03-28 05:00:00
"Urfahr-Umgebung",168,2020-03-28 05:00:00
"Villach Land",26,2020-03-28 05:00:00
"Villach Stadt",13,2020-03-28 05:00:00
"Vöcklabruck",81,2020-03-28 05:00:00
"Voitsberg",52,2020-03-28 05:00:00
"Völkermarkt",34,2020-03-28 05:00:00
"Waidhofen an der Thaya",9,2020-03-28 05:00:00
"Waidhofen an der Ybbs(Stadt)",11,2020-03-28 05:00:00
"Weiz",73,2020-03-28 05:00:00
"Wels(Stadt)",47,2020-03-28 05:00:00
"Wels-Land",61,2020-03-28 05:00:00
"Wien(Stadt)",1029,2020-03-28 05:00:00
"Wiener Neustadt(Land)",14,2020-03-28 05:00:00
"Wiener Neustadt(Stadt)",18,2020-03-28 05:00:00
"Wolfsberg",20,2020-03-28 05:00:00
"Zell am See",200,2020-03-28 05:00:00
"Zwettl",17,2020-03-28 05:00:00
"Amstetten",134,2020-03-28 06:00:00
"Baden",67,2020-03-28 06:00:00
"Bludenz",162,2020-03-28 06:00:00
"Braunau am Inn",35,2020-03-28 06:00:00
"Bregenz",132,2020-03-28 06:00:00
"Bruck an der Leitha",34,2020-03-28 06:00:00
"Bruck-Mürzzuschlag",27,2020-03-28 06:00:00
"Deutschlandsberg",15,2020-03-28 06:00:00
