"bkz";"freq";"date"
703;365;2020-04-10 02:00:00
704;321;2020-04-10 02:00:00
705;458;2020-04-10 02:00:00
706;798;2020-04-10 02:00:00
707;128;2020-04-10 02:00:00
708;49;2020-04-10 02:00:00
709;312;2020-04-10 02:00:00
801;236;2020-04-10 02:00:00
802;237;2020-04-10 02:00:00
803;131;2020-04-10 02:00:00
804;197;2020-04-10 02:00:00
900;1918;2020-04-10 02:00:00
101;14;2020-04-10 03:00:00
103;20;2020-04-10 03:00:00
104;21;2020-04-10 03:00:00
105;8;2020-04-10 03:00:00
106;33;2020-04-10 03:00:00
107;50;2020-04-10 03:00:00
108;17;2020-04-10 03:00:00
109;83;2020-04-10 03:00:00
201;77;2020-04-10 03:00:00
202;19;2020-04-10 03:00:00
203;5;2020-04-10 03:00:00
204;37;2020-04-10 03:00:00
205;45;2020-04-10 03:00:00
206;36;2020-04-10 03:00:00
207;46;2020-04-10 03:00:00
208;50;2020-04-10 03:00:00
209;41;2020-04-10 03:00:00
210;10;2020-04-10 03:00:00
301;32;2020-04-10 03:00:00
302;74;2020-04-10 03:00:00
303;22;2020-04-10 03:00:00
304;35;2020-04-10 03:00:00
305;244;2020-04-10 03:00:00
306;119;2020-04-10 03:00:00
307;68;2020-04-10 03:00:00
308;70;2020-04-10 03:00:00
309;7;2020-04-10 03:00:00
310;27;2020-04-10 03:00:00
311;30;2020-04-10 03:00:00
312;139;2020-04-10 03:00:00
313;129;2020-04-10 03:00:00
314;40;2020-04-10 03:00:00
315;137;2020-04-10 03:00:00
316;110;2020-04-10 03:00:00
317;146;2020-04-10 03:00:00
318;166;2020-04-10 03:00:00
319;238;2020-04-10 03:00:00
320;100;2020-04-10 03:00:00
321;135;2020-04-10 03:00:00
322;19;2020-04-10 03:00:00
323;49;2020-04-10 03:00:00
325;40;2020-04-10 03:00:00
401;288;2020-04-10 03:00:00
402;46;2020-04-10 03:00:00
403;57;2020-04-10 03:00:00
404;106;2020-04-10 03:00:00
405;46;2020-04-10 03:00:00
406;102;2020-04-10 03:00:00
407;60;2020-04-10 03:00:00
408;65;2020-04-10 03:00:00
409;38;2020-04-10 03:00:00
410;195;2020-04-10 03:00:00
411;245;2020-04-10 03:00:00
412;41;2020-04-10 03:00:00
413;134;2020-04-10 03:00:00
414;51;2020-04-10 03:00:00
415;158;2020-04-10 03:00:00
416;274;2020-04-10 03:00:00
417;104;2020-04-10 03:00:00
418;75;2020-04-10 03:00:00
501;134;2020-04-10 03:00:00
502;64;2020-04-10 03:00:00
503;177;2020-04-10 03:00:00
504;416;2020-04-10 03:00:00
505;22;2020-04-10 03:00:00
506;330;2020-04-10 03:00:00
601;391;2020-04-10 03:00:00
603;38;2020-04-10 03:00:00
606;147;2020-04-10 03:00:00
610;166;2020-04-10 03:00:00
611;23;2020-04-10 03:00:00
612;78;2020-04-10 03:00:00
614;5;2020-04-10 03:00:00
616;94;2020-04-10 03:00:00
617;122;2020-04-10 03:00:00
620;31;2020-04-10 03:00:00
621;46;2020-04-10 03:00:00
622;280;2020-04-10 03:00:00
623;47;2020-04-10 03:00:00
701;376;2020-04-10 03:00:00
702;238;2020-04-10 03:00:00
703;365;2020-04-10 03:00:00
704;321;2020-04-10 03:00:00
705;458;2020-04-10 03:00:00
706;798;2020-04-10 03:00:00
707;128;2020-04-10 03:00:00
708;49;2020-04-10 03:00:00
709;312;2020-04-10 03:00:00
801;236;2020-04-10 03:00:00
802;237;2020-04-10 03:00:00
803;131;2020-04-10 03:00:00
804;197;2020-04-10 03:00:00
900;1918;2020-04-10 03:00:00
101;14;2020-04-10 04:00:00
103;20;2020-04-10 04:00:00
104;21;2020-04-10 04:00:00
105;8;2020-04-10 04:00:00
106;33;2020-04-10 04:00:00
107;50;2020-04-10 04:00:00
108;17;2020-04-10 04:00:00
109;83;2020-04-10 04:00:00
201;77;2020-04-10 04:00:00
202;19;2020-04-10 04:00:00
203;5;2020-04-10 04:00:00
204;37;2020-04-10 04:00:00
205;45;2020-04-10 04:00:00
206;36;2020-04-10 04:00:00
207;46;2020-04-10 04:00:00
208;50;2020-04-10 04:00:00
209;41;2020-04-10 04:00:00
210;10;2020-04-10 04:00:00
301;32;2020-04-10 04:00:00
302;74;2020-04-10 04:00:00
303;22;2020-04-10 04:00:00
304;35;2020-04-10 04:00:00
305;244;2020-04-10 04:00:00
306;119;2020-04-10 04:00:00
307;68;2020-04-10 04:00:00
308;70;2020-04-10 04:00:00
309;7;2020-04-10 04:00:00
310;27;2020-04-10 04:00:00
311;30;2020-04-10 04:00:00
312;139;2020-04-10 04:00:00
313;129;2020-04-10 04:00:00
314;40;2020-04-10 04:00:00
315;137;2020-04-10 04:00:00
316;110;2020-04-10 04:00:00
317;146;2020-04-10 04:00:00
318;166;2020-04-10 04:00:00
319;238;2020-04-10 04:00:00
320;100;2020-04-10 04:00:00
321;135;2020-04-10 04:00:00
322;19;2020-04-10 04:00:00
323;49;2020-04-10 04:00:00
325;40;2020-04-10 04:00:00
401;288;2020-04-10 04:00:00
402;46;2020-04-10 04:00:00
403;57;2020-04-10 04:00:00
404;106;2020-04-10 04:00:00
405;46;2020-04-10 04:00:00
406;102;2020-04-10 04:00:00
407;60;2020-04-10 04:00:00
408;65;2020-04-10 04:00:00
409;38;2020-04-10 04:00:00
410;195;2020-04-10 04:00:00
411;245;2020-04-10 04:00:00
412;41;2020-04-10 04:00:00
413;134;2020-04-10 04:00:00
414;51;2020-04-10 04:00:00
415;158;2020-04-10 04:00:00
416;274;2020-04-10 04:00:00
417;104;2020-04-10 04:00:00
418;75;2020-04-10 04:00:00
501;134;2020-04-10 04:00:00
502;64;2020-04-10 04:00:00
503;177;2020-04-10 04:00:00
504;416;2020-04-10 04:00:00
505;22;2020-04-10 04:00:00
506;330;2020-04-10 04:00:00
601;391;2020-04-10 04:00:00
603;38;2020-04-10 04:00:00
606;147;2020-04-10 04:00:00
610;166;2020-04-10 04:00:00
611;23;2020-04-10 04:00:00
612;78;2020-04-10 04:00:00
614;5;2020-04-10 04:00:00
616;94;2020-04-10 04:00:00
617;122;2020-04-10 04:00:00
620;31;2020-04-10 04:00:00
621;46;2020-04-10 04:00:00
622;280;2020-04-10 04:00:00
623;47;2020-04-10 04:00:00
701;376;2020-04-10 04:00:00
702;238;2020-04-10 04:00:00
703;365;2020-04-10 04:00:00
704;321;2020-04-10 04:00:00
705;458;2020-04-10 04:00:00
706;798;2020-04-10 04:00:00
707;128;2020-04-10 04:00:00
708;49;2020-04-10 04:00:00
709;312;2020-04-10 04:00:00
801;236;2020-04-10 04:00:00
802;237;2020-04-10 04:00:00
803;131;2020-04-10 04:00:00
804;197;2020-04-10 04:00:00
900;1918;2020-04-10 04:00:00
101;14;2020-04-10 05:00:00
103;20;2020-04-10 05:00:00
104;21;2020-04-10 05:00:00
105;8;2020-04-10 05:00:00
106;33;2020-04-10 05:00:00
107;50;2020-04-10 05:00:00
108;17;2020-04-10 05:00:00
109;83;2020-04-10 05:00:00
201;77;2020-04-10 05:00:00
202;19;2020-04-10 05:00:00
203;5;2020-04-10 05:00:00
204;37;2020-04-10 05:00:00
205;45;2020-04-10 05:00:00
206;36;2020-04-10 05:00:00
207;46;2020-04-10 05:00:00
208;50;2020-04-10 05:00:00
209;41;2020-04-10 05:00:00
210;10;2020-04-10 05:00:00
301;32;2020-04-10 05:00:00
302;74;2020-04-10 05:00:00
303;22;2020-04-10 05:00:00
304;35;2020-04-10 05:00:00
305;244;2020-04-10 05:00:00
306;119;2020-04-10 05:00:00
307;68;2020-04-10 05:00:00
308;70;2020-04-10 05:00:00
309;7;2020-04-10 05:00:00
310;27;2020-04-10 05:00:00
311;30;2020-04-10 05:00:00
312;139;2020-04-10 05:00:00
313;129;2020-04-10 05:00:00
314;40;2020-04-10 05:00:00
315;137;2020-04-10 05:00:00
316;110;2020-04-10 05:00:00
317;146;2020-04-10 05:00:00
318;166;2020-04-10 05:00:00
319;238;2020-04-10 05:00:00
320;100;2020-04-10 05:00:00
321;135;2020-04-10 05:00:00
322;19;2020-04-10 05:00:00
323;49;2020-04-10 05:00:00
325;40;2020-04-10 05:00:00
401;288;2020-04-10 05:00:00
402;46;2020-04-10 05:00:00
403;57;2020-04-10 05:00:00
404;106;2020-04-10 05:00:00
405;46;2020-04-10 05:00:00
406;102;2020-04-10 05:00:00
407;60;2020-04-10 05:00:00
408;65;2020-04-10 05:00:00
409;38;2020-04-10 05:00:00
410;195;2020-04-10 05:00:00
411;245;2020-04-10 05:00:00
412;41;2020-04-10 05:00:00
413;134;2020-04-10 05:00:00
414;51;2020-04-10 05:00:00
415;158;2020-04-10 05:00:00
416;274;2020-04-10 05:00:00
417;104;2020-04-10 05:00:00
418;75;2020-04-10 05:00:00
501;134;2020-04-10 05:00:00
502;64;2020-04-10 05:00:00
503;177;2020-04-10 05:00:00
504;416;2020-04-10 05:00:00
505;22;2020-04-10 05:00:00
506;330;2020-04-10 05:00:00
601;391;2020-04-10 05:00:00
603;38;2020-04-10 05:00:00
606;147;2020-04-10 05:00:00
610;166;2020-04-10 05:00:00
611;23;2020-04-10 05:00:00
612;78;2020-04-10 05:00:00
614;5;2020-04-10 05:00:00
616;94;2020-04-10 05:00:00
617;122;2020-04-10 05:00:00
620;31;2020-04-10 05:00:00
621;46;2020-04-10 05:00:00
622;280;2020-04-10 05:00:00
623;47;2020-04-10 05:00:00
701;376;2020-04-10 05:00:00
702;238;2020-04-10 05:00:00
703;365;2020-04-10 05:00:00
704;321;2020-04-10 05:00:00
705;458;2020-04-10 05:00:00
706;798;2020-04-10 05:00:00
707;128;2020-04-10 05:00:00
708;49;2020-04-10 05:00:00
709;312;2020-04-10 05:00:00
801;236;2020-04-10 05:00:00
802;237;2020-04-10 05:00:00
803;131;2020-04-10 05:00:00
804;197;2020-04-10 05:00:00
900;1918;2020-04-10 05:00:00
101;14;2020-04-10 06:00:00
103;20;2020-04-10 06:00:00
104;21;2020-04-10 06:00:00
105;8;2020-04-10 06:00:00
106;33;2020-04-10 06:00:00
107;50;2020-04-10 06:00:00
108;17;2020-04-10 06:00:00
109;83;2020-04-10 06:00:00
201;77;2020-04-10 06:00:00
202;19;2020-04-10 06:00:00
203;5;2020-04-10 06:00:00
204;37;2020-04-10 06:00:00
205;45;2020-04-10 06:00:00
206;36;2020-04-10 06:00:00
207;46;2020-04-10 06:00:00
208;50;2020-04-10 06:00:00
209;41;2020-04-10 06:00:00
210;10;2020-04-10 06:00:00
301;32;2020-04-10 06:00:00
302;74;2020-04-10 06:00:00
303;22;2020-04-10 06:00:00
304;35;2020-04-10 06:00:00
305;244;2020-04-10 06:00:00
306;119;2020-04-10 06:00:00
307;68;2020-04-10 06:00:00
308;70;2020-04-10 06:00:00
309;7;2020-04-10 06:00:00
310;27;2020-04-10 06:00:00
311;30;2020-04-10 06:00:00
312;139;2020-04-10 06:00:00
313;129;2020-04-10 06:00:00
314;40;2020-04-10 06:00:00
315;137;2020-04-10 06:00:00
316;110;2020-04-10 06:00:00
317;146;2020-04-10 06:00:00
318;166;2020-04-10 06:00:00
319;238;2020-04-10 06:00:00
320;100;2020-04-10 06:00:00
321;135;2020-04-10 06:00:00
322;19;2020-04-10 06:00:00
323;49;2020-04-10 06:00:00
325;40;2020-04-10 06:00:00
401;288;2020-04-10 06:00:00
402;46;2020-04-10 06:00:00
403;57;2020-04-10 06:00:00
404;106;2020-04-10 06:00:00
405;46;2020-04-10 06:00:00
406;102;2020-04-10 06:00:00
407;60;2020-04-10 06:00:00
408;65;2020-04-10 06:00:00
409;38;2020-04-10 06:00:00
410;195;2020-04-10 06:00:00
411;245;2020-04-10 06:00:00
412;41;2020-04-10 06:00:00
413;134;2020-04-10 06:00:00
414;51;2020-04-10 06:00:00
415;158;2020-04-10 06:00:00
416;274;2020-04-10 06:00:00
417;104;2020-04-10 06:00:00
418;75;2020-04-10 06:00:00
501;134;2020-04-10 06:00:00
502;64;2020-04-10 06:00:00
503;177;2020-04-10 06:00:00
504;416;2020-04-10 06:00:00
505;22;2020-04-10 06:00:00
506;330;2020-04-10 06:00:00
601;391;2020-04-10 06:00:00
603;38;2020-04-10 06:00:00
606;147;2020-04-10 06:00:00
610;166;2020-04-10 06:00:00
611;23;2020-04-10 06:00:00
612;78;2020-04-10 06:00:00
614;5;2020-04-10 06:00:00
616;94;2020-04-10 06:00:00
617;122;2020-04-10 06:00:00
620;31;2020-04-10 06:00:00
621;46;2020-04-10 06:00:00
622;280;2020-04-10 06:00:00
623;47;2020-04-10 06:00:00
701;376;2020-04-10 06:00:00
702;238;2020-04-10 06:00:00
703;365;2020-04-10 06:00:00
704;321;2020-04-10 06:00:00
705;458;2020-04-10 06:00:00
706;798;2020-04-10 06:00:00
707;128;2020-04-10 06:00:00
708;49;2020-04-10 06:00:00
709;312;2020-04-10 06:00:00
801;236;2020-04-10 06:00:00
802;237;2020-04-10 06:00:00
803;131;2020-04-10 06:00:00
804;197;2020-04-10 06:00:00
900;1918;2020-04-10 06:00:00
101;14;2020-04-10 07:00:00
103;20;2020-04-10 07:00:00
104;21;2020-04-10 07:00:00
105;8;2020-04-10 07:00:00
106;33;2020-04-10 07:00:00
107;50;2020-04-10 07:00:00
108;17;2020-04-10 07:00:00
109;83;2020-04-10 07:00:00
201;77;2020-04-10 07:00:00
202;19;2020-04-10 07:00:00
203;5;2020-04-10 07:00:00
204;37;2020-04-10 07:00:00
205;45;2020-04-10 07:00:00
206;36;2020-04-10 07:00:00
207;46;2020-04-10 07:00:00
208;50;2020-04-10 07:00:00
209;41;2020-04-10 07:00:00
210;10;2020-04-10 07:00:00
301;32;2020-04-10 07:00:00
302;76;2020-04-10 07:00:00
303;22;2020-04-10 07:00:00
304;35;2020-04-10 07:00:00
305;250;2020-04-10 07:00:00
306;119;2020-04-10 07:00:00
307;68;2020-04-10 07:00:00
308;70;2020-04-10 07:00:00
309;7;2020-04-10 07:00:00
310;28;2020-04-10 07:00:00
311;30;2020-04-10 07:00:00
312;140;2020-04-10 07:00:00
313;129;2020-04-10 07:00:00
314;40;2020-04-10 07:00:00
315;138;2020-04-10 07:00:00
316;110;2020-04-10 07:00:00
317;146;2020-04-10 07:00:00
318;166;2020-04-10 07:00:00
319;241;2020-04-10 07:00:00
320;100;2020-04-10 07:00:00
321;135;2020-04-10 07:00:00
322;20;2020-04-10 07:00:00
323;49;2020-04-10 07:00:00
325;41;2020-04-10 07:00:00
401;288;2020-04-10 07:00:00
402;46;2020-04-10 07:00:00
403;57;2020-04-10 07:00:00
404;106;2020-04-10 07:00:00
405;46;2020-04-10 07:00:00
406;102;2020-04-10 07:00:00
407;60;2020-04-10 07:00:00
408;65;2020-04-10 07:00:00
409;38;2020-04-10 07:00:00
410;195;2020-04-10 07:00:00
411;245;2020-04-10 07:00:00
412;41;2020-04-10 07:00:00
413;134;2020-04-10 07:00:00
414;51;2020-04-10 07:00:00
415;158;2020-04-10 07:00:00
416;274;2020-04-10 07:00:00
417;104;2020-04-10 07:00:00
418;75;2020-04-10 07:00:00
501;134;2020-04-10 07:00:00
502;64;2020-04-10 07:00:00
503;177;2020-04-10 07:00:00
504;416;2020-04-10 07:00:00
505;22;2020-04-10 07:00:00
506;330;2020-04-10 07:00:00
601;391;2020-04-10 07:00:00
603;38;2020-04-10 07:00:00
606;147;2020-04-10 07:00:00
610;166;2020-04-10 07:00:00
611;23;2020-04-10 07:00:00
612;78;2020-04-10 07:00:00
614;5;2020-04-10 07:00:00
616;94;2020-04-10 07:00:00
617;122;2020-04-10 07:00:00
620;31;2020-04-10 07:00:00
621;46;2020-04-10 07:00:00
622;280;2020-04-10 07:00:00
623;47;2020-04-10 07:00:00
701;376;2020-04-10 07:00:00
702;238;2020-04-10 07:00:00
703;365;2020-04-10 07:00:00
704;321;2020-04-10 07:00:00
705;458;2020-04-10 07:00:00
706;798;2020-04-10 07:00:00
707;128;2020-04-10 07:00:00
708;49;2020-04-10 07:00:00
709;312;2020-04-10 07:00:00
801;236;2020-04-10 07:00:00
802;237;2020-04-10 07:00:00
803;131;2020-04-10 07:00:00
804;197;2020-04-10 07:00:00
900;1924;2020-04-10 07:00:00
101;14;2020-04-10 08:00:00
103;20;2020-04-10 08:00:00
104;21;2020-04-10 08:00:00
105;8;2020-04-10 08:00:00
106;33;2020-04-10 08:00:00
107;50;2020-04-10 08:00:00
108;17;2020-04-10 08:00:00
109;83;2020-04-10 08:00:00
201;77;2020-04-10 08:00:00
202;19;2020-04-10 08:00:00
203;5;2020-04-10 08:00:00
204;37;2020-04-10 08:00:00
205;45;2020-04-10 08:00:00
206;36;2020-04-10 08:00:00
207;46;2020-04-10 08:00:00
208;50;2020-04-10 08:00:00
209;41;2020-04-10 08:00:00
210;10;2020-04-10 08:00:00
301;32;2020-04-10 08:00:00
302;76;2020-04-10 08:00:00
303;22;2020-04-10 08:00:00
304;35;2020-04-10 08:00:00
305;250;2020-04-10 08:00:00
306;119;2020-04-10 08:00:00
307;68;2020-04-10 08:00:00
308;70;2020-04-10 08:00:00
309;7;2020-04-10 08:00:00
310;28;2020-04-10 08:00:00
311;30;2020-04-10 08:00:00
312;140;2020-04-10 08:00:00
313;129;2020-04-10 08:00:00
314;40;2020-04-10 08:00:00
315;138;2020-04-10 08:00:00
316;110;2020-04-10 08:00:00
317;146;2020-04-10 08:00:00
318;166;2020-04-10 08:00:00
319;241;2020-04-10 08:00:00
320;100;2020-04-10 08:00:00
321;135;2020-04-10 08:00:00
322;20;2020-04-10 08:00:00
323;49;2020-04-10 08:00:00
325;41;2020-04-10 08:00:00
401;288;2020-04-10 08:00:00
402;46;2020-04-10 08:00:00
403;57;2020-04-10 08:00:00
404;106;2020-04-10 08:00:00
405;46;2020-04-10 08:00:00
406;102;2020-04-10 08:00:00
407;60;2020-04-10 08:00:00
408;65;2020-04-10 08:00:00
409;38;2020-04-10 08:00:00
410;195;2020-04-10 08:00:00
411;245;2020-04-10 08:00:00
412;41;2020-04-10 08:00:00
413;134;2020-04-10 08:00:00
414;51;2020-04-10 08:00:00
415;158;2020-04-10 08:00:00
416;274;2020-04-10 08:00:00
417;104;2020-04-10 08:00:00
418;75;2020-04-10 08:00:00
501;134;2020-04-10 08:00:00
502;64;2020-04-10 08:00:00
503;177;2020-04-10 08:00:00
504;416;2020-04-10 08:00:00
505;22;2020-04-10 08:00:00
506;330;2020-04-10 08:00:00
601;391;2020-04-10 08:00:00
603;38;2020-04-10 08:00:00
606;147;2020-04-10 08:00:00
610;166;2020-04-10 08:00:00
611;23;2020-04-10 08:00:00
612;78;2020-04-10 08:00:00
614;5;2020-04-10 08:00:00
616;94;2020-04-10 08:00:00
617;122;2020-04-10 08:00:00
620;31;2020-04-10 08:00:00
621;46;2020-04-10 08:00:00
