"bezirk","freq","date"
"Waidhofen an der Ybbs(Stadt)",22,2020-04-09 01:00:00
"Weiz",115,2020-04-09 01:00:00
"Wels(Stadt)",57,2020-04-09 01:00:00
"Wels-Land",74,2020-04-09 01:00:00
"Wien(Stadt)",1878,2020-04-09 01:00:00
"Wiener Neustadt(Land)",43,2020-04-09 01:00:00
"Wiener Neustadt(Stadt)",35,2020-04-09 01:00:00
"Wolfsberg",37,2020-04-09 01:00:00
"Zell am See",327,2020-04-09 01:00:00
"Zwettl",38,2020-04-09 01:00:00
"Amstetten",237,2020-04-09 02:00:00
"Baden",116,2020-04-09 02:00:00
"Bludenz",234,2020-04-09 02:00:00
"Braunau am Inn",102,2020-04-09 02:00:00
"Bregenz",233,2020-04-09 02:00:00
"Bruck an der Leitha",67,2020-04-09 02:00:00
"Bruck-Mürzzuschlag",46,2020-04-09 02:00:00
"Deutschlandsberg",37,2020-04-09 02:00:00
"Dornbirn",129,2020-04-09 02:00:00
"Eferding",44,2020-04-09 02:00:00
"Eisenstadt(Stadt)",14,2020-04-09 02:00:00
"Eisenstadt-Umgebung",20,2020-04-09 02:00:00
"Feldkirch",198,2020-04-09 02:00:00
"Feldkirchen",11,2020-04-09 02:00:00
"Freistadt",100,2020-04-09 02:00:00
"Gänserndorf",70,2020-04-09 02:00:00
"Gmünd",6,2020-04-09 02:00:00
"Gmunden",60,2020-04-09 02:00:00
"Graz(Stadt)",381,2020-04-09 02:00:00
"Graz-Umgebung",146,2020-04-09 02:00:00
"Grieskirchen",64,2020-04-09 02:00:00
"Gröbming",37,2020-04-09 02:00:00
"Güssing",21,2020-04-09 02:00:00
"Hallein",62,2020-04-09 02:00:00
"Hartberg-Fürstenfeld",274,2020-04-09 02:00:00
"Hermagor",4,2020-04-09 02:00:00
"Hollabrunn",28,2020-04-09 02:00:00
"Horn",29,2020-04-09 02:00:00
"Imst",235,2020-04-09 02:00:00
"Innsbruck-Land",357,2020-04-09 02:00:00
"Innsbruck-Stadt",363,2020-04-09 02:00:00
"Jennersdorf",8,2020-04-09 02:00:00
"Kirchdorf an der Krems",38,2020-04-09 02:00:00
"Kitzbühel",317,2020-04-09 02:00:00
"Klagenfurt Land",37,2020-04-09 02:00:00
"Klagenfurt Stadt",79,2020-04-09 02:00:00
"Korneuburg",139,2020-04-09 02:00:00
"Krems an der Donau(Stadt)",33,2020-04-09 02:00:00
"Krems(Land)",127,2020-04-09 02:00:00
"Kufstein",448,2020-04-09 02:00:00
"Landeck",722,2020-04-09 02:00:00
"Leibnitz",163,2020-04-09 02:00:00
"Leoben",23,2020-04-09 02:00:00
"Lienz",127,2020-04-09 02:00:00
"Liezen",39,2020-04-09 02:00:00
"Lilienfeld",40,2020-04-09 02:00:00
"Linz(Stadt)",283,2020-04-09 02:00:00
"Linz-Land",189,2020-04-09 02:00:00
"Mattersburg",33,2020-04-09 02:00:00
"Melk",130,2020-04-09 02:00:00
"Mistelbach",108,2020-04-09 02:00:00
"Mödling",140,2020-04-09 02:00:00
"Murau",5,2020-04-09 02:00:00
"Murtal",31,2020-04-09 02:00:00
"Neunkirchen",166,2020-04-09 02:00:00
"Neusiedl am See",50,2020-04-09 02:00:00
"Oberpullendorf",17,2020-04-09 02:00:00
"Oberwart",81,2020-04-09 02:00:00
"Perg",242,2020-04-09 02:00:00
"Reutte",49,2020-04-09 02:00:00
"Ried im Innkreis",40,2020-04-09 02:00:00
"Rohrbach",134,2020-04-09 02:00:00
"Salzburg(Stadt)",133,2020-04-09 02:00:00
"Salzburg-Umgebung",176,2020-04-09 02:00:00
"Sankt Johann im Pongau",409,2020-04-09 02:00:00
"Sankt Pölten(Land)",235,2020-04-09 02:00:00
"Sankt Pölten(Stadt)",75,2020-04-09 02:00:00
"Sankt Veit an der Glan",44,2020-04-09 02:00:00
"Schärding",51,2020-04-09 02:00:00
"Scheibbs",100,2020-04-09 02:00:00
"Schwaz",311,2020-04-09 02:00:00
"Spittal an der Drau",34,2020-04-09 02:00:00
"Steyr(Stadt)",44,2020-04-09 02:00:00
"Steyr-Land",153,2020-04-09 02:00:00
"Südoststeiermark",46,2020-04-09 02:00:00
"Tamsweg",22,2020-04-09 02:00:00
"Tulln",128,2020-04-09 02:00:00
"Urfahr-Umgebung",269,2020-04-09 02:00:00
"Villach Land",45,2020-04-09 02:00:00
"Villach Stadt",19,2020-04-09 02:00:00
"Vöcklabruck",104,2020-04-09 02:00:00
"Voitsberg",89,2020-04-09 02:00:00
"Völkermarkt",50,2020-04-09 02:00:00
"Waidhofen an der Thaya",16,2020-04-09 02:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-09 02:00:00
"Weiz",115,2020-04-09 02:00:00
"Wels(Stadt)",57,2020-04-09 02:00:00
"Wels-Land",74,2020-04-09 02:00:00
"Wien(Stadt)",1878,2020-04-09 02:00:00
"Wiener Neustadt(Land)",43,2020-04-09 02:00:00
"Wiener Neustadt(Stadt)",35,2020-04-09 02:00:00
"Wolfsberg",37,2020-04-09 02:00:00
"Zell am See",327,2020-04-09 02:00:00
"Zwettl",38,2020-04-09 02:00:00
"Amstetten",237,2020-04-09 03:00:00
"Baden",116,2020-04-09 03:00:00
"Bludenz",234,2020-04-09 03:00:00
"Braunau am Inn",102,2020-04-09 03:00:00
"Bregenz",233,2020-04-09 03:00:00
"Bruck an der Leitha",67,2020-04-09 03:00:00
"Bruck-Mürzzuschlag",46,2020-04-09 03:00:00
"Deutschlandsberg",37,2020-04-09 03:00:00
"Dornbirn",129,2020-04-09 03:00:00
"Eferding",44,2020-04-09 03:00:00
"Eisenstadt(Stadt)",14,2020-04-09 03:00:00
"Eisenstadt-Umgebung",20,2020-04-09 03:00:00
"Feldkirch",198,2020-04-09 03:00:00
"Feldkirchen",11,2020-04-09 03:00:00
"Freistadt",100,2020-04-09 03:00:00
"Gänserndorf",70,2020-04-09 03:00:00
"Gmünd",6,2020-04-09 03:00:00
"Gmunden",60,2020-04-09 03:00:00
"Graz(Stadt)",381,2020-04-09 03:00:00
"Graz-Umgebung",146,2020-04-09 03:00:00
"Grieskirchen",64,2020-04-09 03:00:00
"Gröbming",37,2020-04-09 03:00:00
"Güssing",21,2020-04-09 03:00:00
"Hallein",62,2020-04-09 03:00:00
"Hartberg-Fürstenfeld",274,2020-04-09 03:00:00
"Hermagor",4,2020-04-09 03:00:00
"Hollabrunn",28,2020-04-09 03:00:00
"Horn",29,2020-04-09 03:00:00
"Imst",235,2020-04-09 03:00:00
"Innsbruck-Land",357,2020-04-09 03:00:00
"Innsbruck-Stadt",363,2020-04-09 03:00:00
"Jennersdorf",8,2020-04-09 03:00:00
"Kirchdorf an der Krems",38,2020-04-09 03:00:00
"Kitzbühel",317,2020-04-09 03:00:00
"Klagenfurt Land",37,2020-04-09 03:00:00
"Klagenfurt Stadt",79,2020-04-09 03:00:00
"Korneuburg",139,2020-04-09 03:00:00
"Krems an der Donau(Stadt)",33,2020-04-09 03:00:00
"Krems(Land)",127,2020-04-09 03:00:00
"Kufstein",448,2020-04-09 03:00:00
"Landeck",722,2020-04-09 03:00:00
"Leibnitz",163,2020-04-09 03:00:00
"Leoben",23,2020-04-09 03:00:00
"Lienz",127,2020-04-09 03:00:00
"Liezen",39,2020-04-09 03:00:00
"Lilienfeld",40,2020-04-09 03:00:00
"Linz(Stadt)",283,2020-04-09 03:00:00
"Linz-Land",189,2020-04-09 03:00:00
"Mattersburg",33,2020-04-09 03:00:00
"Melk",130,2020-04-09 03:00:00
"Mistelbach",108,2020-04-09 03:00:00
"Mödling",140,2020-04-09 03:00:00
"Murau",5,2020-04-09 03:00:00
"Murtal",31,2020-04-09 03:00:00
"Neunkirchen",166,2020-04-09 03:00:00
"Neusiedl am See",50,2020-04-09 03:00:00
"Oberpullendorf",17,2020-04-09 03:00:00
"Oberwart",81,2020-04-09 03:00:00
"Perg",242,2020-04-09 03:00:00
"Reutte",49,2020-04-09 03:00:00
"Ried im Innkreis",40,2020-04-09 03:00:00
"Rohrbach",134,2020-04-09 03:00:00
"Salzburg(Stadt)",133,2020-04-09 03:00:00
"Salzburg-Umgebung",176,2020-04-09 03:00:00
"Sankt Johann im Pongau",409,2020-04-09 03:00:00
"Sankt Pölten(Land)",235,2020-04-09 03:00:00
"Sankt Pölten(Stadt)",75,2020-04-09 03:00:00
"Sankt Veit an der Glan",44,2020-04-09 03:00:00
"Schärding",51,2020-04-09 03:00:00
"Scheibbs",100,2020-04-09 03:00:00
"Schwaz",311,2020-04-09 03:00:00
"Spittal an der Drau",34,2020-04-09 03:00:00
"Steyr(Stadt)",44,2020-04-09 03:00:00
"Steyr-Land",153,2020-04-09 03:00:00
"Südoststeiermark",46,2020-04-09 03:00:00
"Tamsweg",22,2020-04-09 03:00:00
"Tulln",128,2020-04-09 03:00:00
"Urfahr-Umgebung",269,2020-04-09 03:00:00
"Villach Land",45,2020-04-09 03:00:00
"Villach Stadt",19,2020-04-09 03:00:00
"Vöcklabruck",104,2020-04-09 03:00:00
"Voitsberg",89,2020-04-09 03:00:00
"Völkermarkt",50,2020-04-09 03:00:00
"Waidhofen an der Thaya",16,2020-04-09 03:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-09 03:00:00
"Weiz",115,2020-04-09 03:00:00
"Wels(Stadt)",57,2020-04-09 03:00:00
"Wels-Land",74,2020-04-09 03:00:00
"Wien(Stadt)",1878,2020-04-09 03:00:00
"Wiener Neustadt(Land)",43,2020-04-09 03:00:00
"Wiener Neustadt(Stadt)",35,2020-04-09 03:00:00
"Wolfsberg",37,2020-04-09 03:00:00
"Zell am See",327,2020-04-09 03:00:00
"Zwettl",38,2020-04-09 03:00:00
"Amstetten",237,2020-04-09 04:00:00
"Baden",116,2020-04-09 04:00:00
"Bludenz",234,2020-04-09 04:00:00
"Braunau am Inn",102,2020-04-09 04:00:00
"Bregenz",233,2020-04-09 04:00:00
"Bruck an der Leitha",67,2020-04-09 04:00:00
"Bruck-Mürzzuschlag",46,2020-04-09 04:00:00
"Deutschlandsberg",37,2020-04-09 04:00:00
"Dornbirn",129,2020-04-09 04:00:00
"Eferding",44,2020-04-09 04:00:00
"Eisenstadt(Stadt)",14,2020-04-09 04:00:00
"Eisenstadt-Umgebung",20,2020-04-09 04:00:00
"Feldkirch",198,2020-04-09 04:00:00
"Feldkirchen",11,2020-04-09 04:00:00
"Freistadt",100,2020-04-09 04:00:00
"Gänserndorf",70,2020-04-09 04:00:00
"Gmünd",6,2020-04-09 04:00:00
"Gmunden",60,2020-04-09 04:00:00
"Graz(Stadt)",381,2020-04-09 04:00:00
"Graz-Umgebung",146,2020-04-09 04:00:00
"Grieskirchen",64,2020-04-09 04:00:00
"Gröbming",37,2020-04-09 04:00:00
"Güssing",21,2020-04-09 04:00:00
"Hallein",62,2020-04-09 04:00:00
"Hartberg-Fürstenfeld",274,2020-04-09 04:00:00
"Hermagor",4,2020-04-09 04:00:00
"Hollabrunn",28,2020-04-09 04:00:00
"Horn",29,2020-04-09 04:00:00
"Imst",235,2020-04-09 04:00:00
"Innsbruck-Land",357,2020-04-09 04:00:00
"Innsbruck-Stadt",363,2020-04-09 04:00:00
"Jennersdorf",8,2020-04-09 04:00:00
"Kirchdorf an der Krems",38,2020-04-09 04:00:00
"Kitzbühel",317,2020-04-09 04:00:00
"Klagenfurt Land",37,2020-04-09 04:00:00
"Klagenfurt Stadt",79,2020-04-09 04:00:00
"Korneuburg",139,2020-04-09 04:00:00
"Krems an der Donau(Stadt)",33,2020-04-09 04:00:00
"Krems(Land)",127,2020-04-09 04:00:00
"Kufstein",448,2020-04-09 04:00:00
"Landeck",722,2020-04-09 04:00:00
"Leibnitz",163,2020-04-09 04:00:00
"Leoben",23,2020-04-09 04:00:00
"Lienz",127,2020-04-09 04:00:00
"Liezen",39,2020-04-09 04:00:00
"Lilienfeld",40,2020-04-09 04:00:00
"Linz(Stadt)",283,2020-04-09 04:00:00
"Linz-Land",189,2020-04-09 04:00:00
"Mattersburg",33,2020-04-09 04:00:00
"Melk",130,2020-04-09 04:00:00
"Mistelbach",108,2020-04-09 04:00:00
"Mödling",140,2020-04-09 04:00:00
"Murau",5,2020-04-09 04:00:00
"Murtal",31,2020-04-09 04:00:00
"Neunkirchen",166,2020-04-09 04:00:00
"Neusiedl am See",50,2020-04-09 04:00:00
"Oberpullendorf",17,2020-04-09 04:00:00
"Oberwart",81,2020-04-09 04:00:00
"Perg",242,2020-04-09 04:00:00
"Reutte",49,2020-04-09 04:00:00
"Ried im Innkreis",40,2020-04-09 04:00:00
"Rohrbach",134,2020-04-09 04:00:00
"Salzburg(Stadt)",133,2020-04-09 04:00:00
"Salzburg-Umgebung",176,2020-04-09 04:00:00
"Sankt Johann im Pongau",409,2020-04-09 04:00:00
"Sankt Pölten(Land)",235,2020-04-09 04:00:00
"Sankt Pölten(Stadt)",75,2020-04-09 04:00:00
"Sankt Veit an der Glan",44,2020-04-09 04:00:00
"Schärding",51,2020-04-09 04:00:00
"Scheibbs",100,2020-04-09 04:00:00
"Schwaz",311,2020-04-09 04:00:00
"Spittal an der Drau",34,2020-04-09 04:00:00
"Steyr(Stadt)",44,2020-04-09 04:00:00
"Steyr-Land",153,2020-04-09 04:00:00
"Südoststeiermark",46,2020-04-09 04:00:00
"Tamsweg",22,2020-04-09 04:00:00
"Tulln",128,2020-04-09 04:00:00
"Urfahr-Umgebung",269,2020-04-09 04:00:00
"Villach Land",45,2020-04-09 04:00:00
"Villach Stadt",19,2020-04-09 04:00:00
"Vöcklabruck",104,2020-04-09 04:00:00
"Voitsberg",89,2020-04-09 04:00:00
"Völkermarkt",50,2020-04-09 04:00:00
"Waidhofen an der Thaya",16,2020-04-09 04:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-09 04:00:00
"Weiz",115,2020-04-09 04:00:00
"Wels(Stadt)",57,2020-04-09 04:00:00
"Wels-Land",74,2020-04-09 04:00:00
"Wien(Stadt)",1878,2020-04-09 04:00:00
"Wiener Neustadt(Land)",43,2020-04-09 04:00:00
"Wiener Neustadt(Stadt)",35,2020-04-09 04:00:00
"Wolfsberg",37,2020-04-09 04:00:00
"Zell am See",327,2020-04-09 04:00:00
"Zwettl",38,2020-04-09 04:00:00
"Amstetten",237,2020-04-09 05:00:00
"Baden",116,2020-04-09 05:00:00
"Bludenz",234,2020-04-09 05:00:00
"Braunau am Inn",102,2020-04-09 05:00:00
"Bregenz",233,2020-04-09 05:00:00
"Bruck an der Leitha",67,2020-04-09 05:00:00
"Bruck-Mürzzuschlag",46,2020-04-09 05:00:00
"Deutschlandsberg",37,2020-04-09 05:00:00
"Dornbirn",129,2020-04-09 05:00:00
"Eferding",44,2020-04-09 05:00:00
"Eisenstadt(Stadt)",14,2020-04-09 05:00:00
"Eisenstadt-Umgebung",20,2020-04-09 05:00:00
"Feldkirch",198,2020-04-09 05:00:00
"Feldkirchen",11,2020-04-09 05:00:00
"Freistadt",100,2020-04-09 05:00:00
"Gänserndorf",70,2020-04-09 05:00:00
"Gmünd",6,2020-04-09 05:00:00
"Gmunden",60,2020-04-09 05:00:00
"Graz(Stadt)",381,2020-04-09 05:00:00
"Graz-Umgebung",146,2020-04-09 05:00:00
"Grieskirchen",64,2020-04-09 05:00:00
"Gröbming",37,2020-04-09 05:00:00
"Güssing",21,2020-04-09 05:00:00
"Hallein",62,2020-04-09 05:00:00
"Hartberg-Fürstenfeld",274,2020-04-09 05:00:00
"Hermagor",4,2020-04-09 05:00:00
"Hollabrunn",28,2020-04-09 05:00:00
"Horn",29,2020-04-09 05:00:00
"Imst",235,2020-04-09 05:00:00
"Innsbruck-Land",357,2020-04-09 05:00:00
"Innsbruck-Stadt",363,2020-04-09 05:00:00
"Jennersdorf",8,2020-04-09 05:00:00
"Kirchdorf an der Krems",38,2020-04-09 05:00:00
"Kitzbühel",317,2020-04-09 05:00:00
"Klagenfurt Land",37,2020-04-09 05:00:00
"Klagenfurt Stadt",79,2020-04-09 05:00:00
"Korneuburg",139,2020-04-09 05:00:00
"Krems an der Donau(Stadt)",33,2020-04-09 05:00:00
"Krems(Land)",127,2020-04-09 05:00:00
"Kufstein",448,2020-04-09 05:00:00
"Landeck",722,2020-04-09 05:00:00
"Leibnitz",163,2020-04-09 05:00:00
"Leoben",23,2020-04-09 05:00:00
"Lienz",127,2020-04-09 05:00:00
"Liezen",39,2020-04-09 05:00:00
"Lilienfeld",40,2020-04-09 05:00:00
"Linz(Stadt)",283,2020-04-09 05:00:00
"Linz-Land",189,2020-04-09 05:00:00
"Mattersburg",33,2020-04-09 05:00:00
"Melk",130,2020-04-09 05:00:00
"Mistelbach",108,2020-04-09 05:00:00
"Mödling",140,2020-04-09 05:00:00
"Murau",5,2020-04-09 05:00:00
"Murtal",31,2020-04-09 05:00:00
"Neunkirchen",166,2020-04-09 05:00:00
"Neusiedl am See",50,2020-04-09 05:00:00
"Oberpullendorf",17,2020-04-09 05:00:00
"Oberwart",81,2020-04-09 05:00:00
"Perg",242,2020-04-09 05:00:00
"Reutte",49,2020-04-09 05:00:00
"Ried im Innkreis",40,2020-04-09 05:00:00
"Rohrbach",134,2020-04-09 05:00:00
"Salzburg(Stadt)",133,2020-04-09 05:00:00
"Salzburg-Umgebung",176,2020-04-09 05:00:00
"Sankt Johann im Pongau",409,2020-04-09 05:00:00
"Sankt Pölten(Land)",235,2020-04-09 05:00:00
"Sankt Pölten(Stadt)",75,2020-04-09 05:00:00
"Sankt Veit an der Glan",44,2020-04-09 05:00:00
"Schärding",51,2020-04-09 05:00:00
"Scheibbs",100,2020-04-09 05:00:00
"Schwaz",311,2020-04-09 05:00:00
"Spittal an der Drau",34,2020-04-09 05:00:00
"Steyr(Stadt)",44,2020-04-09 05:00:00
"Steyr-Land",153,2020-04-09 05:00:00
"Südoststeiermark",46,2020-04-09 05:00:00
"Tamsweg",22,2020-04-09 05:00:00
"Tulln",128,2020-04-09 05:00:00
"Urfahr-Umgebung",269,2020-04-09 05:00:00
"Villach Land",45,2020-04-09 05:00:00
"Villach Stadt",19,2020-04-09 05:00:00
"Vöcklabruck",104,2020-04-09 05:00:00
"Voitsberg",89,2020-04-09 05:00:00
"Völkermarkt",50,2020-04-09 05:00:00
"Waidhofen an der Thaya",16,2020-04-09 05:00:00
"Waidhofen an der Ybbs(Stadt)",22,2020-04-09 05:00:00
"Weiz",115,2020-04-09 05:00:00
"Wels(Stadt)",57,2020-04-09 05:00:00
"Wels-Land",74,2020-04-09 05:00:00
"Wien(Stadt)",1878,2020-04-09 05:00:00
"Wiener Neustadt(Land)",43,2020-04-09 05:00:00
"Wiener Neustadt(Stadt)",35,2020-04-09 05:00:00
"Wolfsberg",37,2020-04-09 05:00:00
"Zell am See",327,2020-04-09 05:00:00
"Zwettl",38,2020-04-09 05:00:00
