"bundesland","freq","date"
"W",1878,2020-04-09 00:00:00
"Vbg",794,2020-04-09 00:00:00
"T",2929,2020-04-09 00:00:00
"Stmk",1432,2020-04-09 00:00:00
"Sbg",1129,2020-04-09 00:00:00
"OÖ",2048,2020-04-09 00:00:00
"NÖ",2128,2020-04-09 00:00:00
"Ktn",360,2020-04-09 00:00:00
"Bgld",244,2020-04-09 00:00:00
"W",1878,2020-04-09 01:00:00
"Vbg",794,2020-04-09 01:00:00
"T",2929,2020-04-09 01:00:00
"Stmk",1432,2020-04-09 01:00:00
"Sbg",1129,2020-04-09 01:00:00
"OÖ",2048,2020-04-09 01:00:00
"NÖ",2128,2020-04-09 01:00:00
"Ktn",360,2020-04-09 01:00:00
"Bgld",244,2020-04-09 01:00:00
"W",1878,2020-04-09 02:00:00
"Vbg",794,2020-04-09 02:00:00
"T",2929,2020-04-09 02:00:00
"Stmk",1432,2020-04-09 02:00:00
"Sbg",1129,2020-04-09 02:00:00
"OÖ",2048,2020-04-09 02:00:00
"NÖ",2128,2020-04-09 02:00:00
"Ktn",360,2020-04-09 02:00:00
"Bgld",244,2020-04-09 02:00:00
"W",1878,2020-04-09 03:00:00
"Vbg",794,2020-04-09 03:00:00
"T",2929,2020-04-09 03:00:00
"Stmk",1432,2020-04-09 03:00:00
"Sbg",1129,2020-04-09 03:00:00
"OÖ",2048,2020-04-09 03:00:00
"NÖ",2128,2020-04-09 03:00:00
"Ktn",360,2020-04-09 03:00:00
"Bgld",244,2020-04-09 03:00:00
"W",1878,2020-04-09 04:00:00
"Vbg",794,2020-04-09 04:00:00
"T",2929,2020-04-09 04:00:00
"Stmk",1432,2020-04-09 04:00:00
"Sbg",1129,2020-04-09 04:00:00
"OÖ",2048,2020-04-09 04:00:00
"NÖ",2128,2020-04-09 04:00:00
"Ktn",360,2020-04-09 04:00:00
"Bgld",244,2020-04-09 04:00:00
"W",1878,2020-04-09 05:00:00
"Vbg",794,2020-04-09 05:00:00
"T",2929,2020-04-09 05:00:00
"Stmk",1432,2020-04-09 05:00:00
"Sbg",1129,2020-04-09 05:00:00
"OÖ",2048,2020-04-09 05:00:00
"NÖ",2128,2020-04-09 05:00:00
"Ktn",360,2020-04-09 05:00:00
"Bgld",244,2020-04-09 05:00:00
"W",1878,2020-04-09 06:00:00
"Vbg",794,2020-04-09 06:00:00
"T",2929,2020-04-09 06:00:00
"Stmk",1432,2020-04-09 06:00:00
"Sbg",1129,2020-04-09 06:00:00
"OÖ",2048,2020-04-09 06:00:00
"NÖ",2128,2020-04-09 06:00:00
"Ktn",360,2020-04-09 06:00:00
"Bgld",244,2020-04-09 06:00:00
"W",1878,2020-04-09 07:00:00
"Vbg",794,2020-04-09 07:00:00
"T",2929,2020-04-09 07:00:00
"Stmk",1432,2020-04-09 07:00:00
"Sbg",1129,2020-04-09 07:00:00
"OÖ",2048,2020-04-09 07:00:00
"NÖ",2128,2020-04-09 07:00:00
"Ktn",360,2020-04-09 07:00:00
"Bgld",244,2020-04-09 07:00:00
"W",1878,2020-04-09 08:00:00
"Vbg",794,2020-04-09 08:00:00
"T",2931,2020-04-09 08:00:00
"Stmk",1434,2020-04-09 08:00:00
"Sbg",1129,2020-04-09 08:00:00
"OÖ",2048,2020-04-09 08:00:00
"NÖ",2151,2020-04-09 08:00:00
"Ktn",361,2020-04-09 08:00:00
"Bgld",243,2020-04-09 08:00:00
"W",1879,2020-04-09 09:00:00
