"nuts2","freq","date"
1,54,2020-03-21 19:45:00
2,84,2020-03-21 19:45:00
3,394,2020-03-21 19:45:00
4,594,2020-03-21 19:45:00
5,200,2020-03-21 19:45:00
6,389,2020-03-21 19:45:00
7,578,2020-03-21 19:45:00
8,232,2020-03-21 19:45:00
9,359,2020-03-21 19:45:00
1,54,2020-03-21 20:00:00
2,91,2020-03-21 20:00:00
3,401,2020-03-21 20:00:00
4,595,2020-03-21 20:00:00
5,200,2020-03-21 20:00:00
6,389,2020-03-21 20:00:00
7,578,2020-03-21 20:00:00
8,232,2020-03-21 20:00:00
9,359,2020-03-21 20:00:00
1,54,2020-03-21 20:15:00
2,95,2020-03-21 20:15:00
3,407,2020-03-21 20:15:00
4,596,2020-03-21 20:15:00
5,200,2020-03-21 20:15:00
6,391,2020-03-21 20:15:00
7,578,2020-03-21 20:15:00
8,236,2020-03-21 20:15:00
9,360,2020-03-21 20:15:00
1,54,2020-03-21 20:30:00
2,97,2020-03-21 20:30:00
3,412,2020-03-21 20:30:00
4,596,2020-03-21 20:30:00
5,200,2020-03-21 20:30:00
6,392,2020-03-21 20:30:00
7,578,2020-03-21 20:30:00
8,236,2020-03-21 20:30:00
9,362,2020-03-21 20:30:00
1,54,2020-03-21 20:45:00
2,97,2020-03-21 20:45:00
3,422,2020-03-21 20:45:00
4,596,2020-03-21 20:45:00
5,209,2020-03-21 20:45:00
6,393,2020-03-21 20:45:00
7,578,2020-03-21 20:45:00
8,236,2020-03-21 20:45:00
9,363,2020-03-21 20:45:00
1,54,2020-03-21 21:00:00
2,97,2020-03-21 21:00:00
3,422,2020-03-21 21:00:00
4,596,2020-03-21 21:00:00
5,209,2020-03-21 21:00:00
6,393,2020-03-21 21:00:00
7,578,2020-03-21 21:00:00
8,240,2020-03-21 21:00:00
9,364,2020-03-21 21:00:00
1,54,2020-03-21 21:15:00
2,97,2020-03-21 21:15:00
3,422,2020-03-21 21:15:00
4,596,2020-03-21 21:15:00
5,209,2020-03-21 21:15:00
6,393,2020-03-21 21:15:00
7,578,2020-03-21 21:15:00
8,240,2020-03-21 21:15:00
9,364,2020-03-21 21:15:00
1,54,2020-03-21 21:30:00
2,97,2020-03-21 21:30:00
3,422,2020-03-21 21:30:00
4,597,2020-03-21 21:30:00
5,209,2020-03-21 21:30:00
6,393,2020-03-21 21:30:00
7,578,2020-03-21 21:30:00
8,240,2020-03-21 21:30:00
9,364,2020-03-21 21:30:00
1,54,2020-03-21 21:45:00
2,97,2020-03-21 21:45:00
3,422,2020-03-21 21:45:00
4,597,2020-03-21 21:45:00
5,209,2020-03-21 21:45:00
6,393,2020-03-21 21:45:00
7,578,2020-03-21 21:45:00
8,240,2020-03-21 21:45:00
9,364,2020-03-21 21:45:00
1,54,2020-03-21 22:00:00
2,97,2020-03-21 22:00:00
3,422,2020-03-21 22:00:00
4,598,2020-03-21 22:00:00
5,209,2020-03-21 22:00:00
6,393,2020-03-21 22:00:00
7,578,2020-03-21 22:00:00
8,240,2020-03-21 22:00:00
9,364,2020-03-21 22:00:00
1,54,2020-03-21 22:15:00
2,97,2020-03-21 22:15:00
3,422,2020-03-21 22:15:00
4,598,2020-03-21 22:15:00
5,209,2020-03-21 22:15:00
6,393,2020-03-21 22:15:00
7,582,2020-03-21 22:15:00
8,240,2020-03-21 22:15:00
9,364,2020-03-21 22:15:00
1,54,2020-03-21 22:30:00
2,97,2020-03-21 22:30:00
3,422,2020-03-21 22:30:00
4,600,2020-03-21 22:30:00
5,209,2020-03-21 22:30:00
6,393,2020-03-21 22:30:00
7,591,2020-03-21 22:30:00
8,240,2020-03-21 22:30:00
9,364,2020-03-21 22:30:00
1,54,2020-03-21 22:45:00
2,97,2020-03-21 22:45:00
3,422,2020-03-21 22:45:00
4,600,2020-03-21 22:45:00
5,209,2020-03-21 22:45:00
6,393,2020-03-21 22:45:00
7,604,2020-03-21 22:45:00
8,249,2020-03-21 22:45:00
9,364,2020-03-21 22:45:00
1,54,2020-03-21 23:00:00
2,97,2020-03-21 23:00:00
3,422,2020-03-21 23:00:00
4,600,2020-03-21 23:00:00
5,209,2020-03-21 23:00:00
6,393,2020-03-21 23:00:00
7,617,2020-03-21 23:00:00
8,249,2020-03-21 23:00:00
9,364,2020-03-21 23:00:00
1,54,2020-03-21 23:15:00
2,97,2020-03-21 23:15:00
3,422,2020-03-21 23:15:00
4,605,2020-03-21 23:15:00
5,209,2020-03-21 23:15:00
6,393,2020-03-21 23:15:00
7,624,2020-03-21 23:15:00
8,249,2020-03-21 23:15:00
9,364,2020-03-21 23:15:00
1,54,2020-03-21 23:30:00
2,97,2020-03-21 23:30:00
3,422,2020-03-21 23:30:00
4,606,2020-03-21 23:30:00
5,209,2020-03-21 23:30:00
6,393,2020-03-21 23:30:00
7,624,2020-03-21 23:30:00
8,249,2020-03-21 23:30:00
9,364,2020-03-21 23:30:00
1,54,2020-03-21 23:45:00
2,97,2020-03-21 23:45:00
3,422,2020-03-21 23:45:00
4,606,2020-03-21 23:45:00
5,209,2020-03-21 23:45:00
6,393,2020-03-21 23:45:00
7,624,2020-03-21 23:45:00
8,249,2020-03-21 23:45:00
9,364,2020-03-21 23:45:00
